round_dir	species	reference	foliage	photo_width_over_height	still_width_over_height	photo_crown_base	still_crown_base	photo_occupied	still_occupied	photo_outline_deviation	still_outline_deviation	photo_centre_mean	still_centre_mean	still_sha256	pair_sha256
round12-fn50	european-beech	B-BARE	hidden	0.7417	0.7226	0.2500	0.2438	0.2813	0.4382	0.2937	0.0726	99.9000	123.2000	19b608513c49a806c347e7abad8fff0a0936192c4c2518ee27721c07588d8caa	348f2d452c57e747546919ad3f8a6c0abfd06408477c8bda94a089120a494738
round12-fn50	european-beech	B-BASE	hidden	0.6000	0.6674	1.0000	0.1063	0.0454	0.0921		0.1396	129.7000	101.1000	0f306dd64dad7700baefd8198284e6549761a0fa831de03281831b779c8d4f62	2d5820dd8abaead1073dc80053e78dca485bb51db31084e21f83951f24f0a23b
round12-fn50	european-beech	B-WHOLE	leaf-on	0.6965	0.7407	0.1200	0.0928	0.4566	0.5987	0.2274	0.0737	79.7000	22.1000	d5ee39230fc3635392143622918b74d5aefb2f13ca65f5b1352b7c5a6c089ca0	38dadb5e7a6b5e2a1ebefedcb35ac197946eb57df3e3ef37a71dc07bcc019034
round13-birch	silver-birch	S-BARE	hidden	0.7018	0.6784	0.1500	0.1676	0.4587	0.5298	0.1676	0.0847	91.3000	81.0000	18bb90f9d78f663f82b891032e689d7001d414867c83116b5378615ee699b18e	2fab9ea4231ef035c47fa0aee3b9b5c3025539d20ad55c5ce9e1796f3c8351de
round13-birch	silver-birch	S-BARK	hidden	1.0675	1.3347	1.0000	0.0000	0.4708	0.3131	0.1311	0.5054	92.4000	166.6000	e20d2f30fc2c1a16af5dbc9085c7ebc9063a12059b1ff49831f647c2bf1c4fb3	5b51f678c0f0fd8a4870ef9b2d44122b36812937343c4dcf21dc74e8147dedc0
round13-birch	silver-birch	S-WHOLE	leaf-on	0.8461	0.8712	0.0800	0.1429	0.4426	0.4852	0.2189	0.1057	83.0000	46.8000	8d7f92815cf1a838d6798f9504b17d621f9a3a306d1bb8e6d4ace00f687b68e4	4182f0af72e78742e52940a57d89585230e846f64c279a8d8fd933f486c59ba0
round14-merge	european-beech	B-BARE	hidden	0.7417	0.7280	0.2500	0.2441	0.2813	0.4295	0.2937	0.0748	99.9000	123.7000	02c4a43fa9cba3b05e36d8c5ef51b1bb9a802660b2b175eafa6118a90d2f9be7	2650b0a37822d2cc104a826348a8d9763e7c518013d8de1130100262a90d0b4e
round14-merge	european-beech	B-BASE	hidden	0.6000	0.6674	1.0000	0.0570	0.0454	0.0919		0.1430	129.7000	101.0000	6dde3e8da12ef115b12a3baed56337cde493710afea67df7088841a1123ceec1	40c9df6c5c08f65c01285fd73d6fc6281d304f32b267a348f248e43a9b2f41be
round14-merge	european-beech	B-WHOLE	leaf-on	0.6965	0.7430	0.1200	0.0930	0.4566	0.6480	0.2274	0.0734	79.7000	35.1000	0cf53feb07e494a529b025dc0a3a0aafd6a9b1e18ea40c20efa851646defa83f	6ca7539d7a20cb9ee6cb26acb691c0a751f81be2975bac0ca84fdeaae5195d55
round14-merge	silver-birch	S-BARE	hidden	0.7018	0.6784	0.1500	0.1676	0.4587	0.5298	0.1676	0.0847	91.3000	81.0000	18bb90f9d78f663f82b891032e689d7001d414867c83116b5378615ee699b18e	2fab9ea4231ef035c47fa0aee3b9b5c3025539d20ad55c5ce9e1796f3c8351de
round14-merge	silver-birch	S-BARK	hidden	1.0675	1.3347	1.0000	0.0000	0.4708	0.3131	0.1311	0.5054	92.4000	166.6000	e20d2f30fc2c1a16af5dbc9085c7ebc9063a12059b1ff49831f647c2bf1c4fb3	5b51f678c0f0fd8a4870ef9b2d44122b36812937343c4dcf21dc74e8147dedc0
round14-merge	silver-birch	S-WHOLE	leaf-on	0.8461	0.8712	0.0800	0.1429	0.4426	0.4852	0.2189	0.1057	83.0000	46.8000	8d7f92815cf1a838d6798f9504b17d621f9a3a306d1bb8e6d4ace00f687b68e4	4182f0af72e78742e52940a57d89585230e846f64c279a8d8fd933f486c59ba0
round15-birch	silver-birch	S-BARE	hidden	0.7018	0.6751	0.1500	0.1935	0.4587	0.5306	0.1676	0.0933	91.3000	71.6000	27e3d0bef8c20e3dc4ce2dfb6c93c9ec1f248cf7c3bab82ed0338a5431f69220	651f52bf763ead1568eceeb0eed913f56927023ebd90c3ffb0d6067f812697e9
