arm	round	label	key	cached	feasible	reason	score	seconds	height_m	dbh_m	wood_triangles	leaves	B-WHOLE.width_over_height	B-WHOLE.crown_base	B-WHOLE.occupied	B-WHOLE.outline_deviation	B-WHOLE.centre	B-BARE.width_over_height	B-BARE.crown_base	B-BARE.occupied	B-BARE.outline_deviation	B-BARE.centre	overrides
sweep	1	sweep:twig_length_ratio:up	301137af0111	False	True		0.2685	26.5	32.04	1.016	13197840	5743030	0.7514	0.0959	0.544	0.1359	55.7	0.7347	0.303	0.432	0.1146	114.2	"{""skeleton"": {""twigs"": {""lengthRatio"": 0.28}}}"
sweep	1	sweep:irregularity:down	c8bd0ca4281f	False	True		0.2552	22.1	32.02	1.016	10679800	4890852	0.7397	0.0958	0.5329	0.1444	56.3	0.7252	0.3033	0.412	0.1168	115.9	"{""skeleton"": {""envelope"": {""irregularity"": 0.1}}}"
sweep	1	sweep:irregularity:up	ce711318fdad	False	True		0.253	22.1	32.08	1.016	10816520	4961840	0.753	0.0959	0.5371	0.1533	56.5	0.7347	0.303	0.4151	0.12	116.5	"{""skeleton"": {""envelope"": {""irregularity"": 0.26}}}"
sweep	1	sweep:spread:down	fca69185b1d6	False	True		0.2444	19.1	31.94	1.016	9334000	4194853	0.6768	0.0964	0.542	0.1434	57.4	0.7096	0.3052	0.3886	0.1268	116.8	"{""skeleton"": {""envelope"": {""spread"": 0.32}}}"
sweep	1	sweep:spread:up	b952e04b1d65	False	True		0.2755	25.2	31.98	1.016	12074960	5558982	0.7453	0.0949	0.5584	0.1433	56.3	0.7302	0.3004	0.4423	0.1062	116.0	"{""skeleton"": {""envelope"": {""spread"": 0.4}}}"
sweep	1	sweep:crown_base:down	9a930cfbefd7	False	True		0.2492	21.3	31.98	1.016	10351600	4744570	0.7466	0.0956	0.5271	0.1463	56.5	0.7334	0.3028	0.4079	0.1234	116.1	"{""skeleton"": {""envelope"": {""crownBase"": 0.02}}}"
sweep	1	sweep:crown_base:up	9b87398baed3	False	True		0.1925	18.1	32.03	1.016	8476480	3921504	0.7566	0.0955	0.4763	0.2021	64.3	0.7361	0.2988	0.3648	0.1433	127.4	"{""skeleton"": {""envelope"": {""crownBase"": 0.1}}}"
sweep	1	sweep:short_shoot_leaves:down	b5adb738bf6a	False	True		0.243	18.2	32.1	1.016	10764600	3772027	0.7496	0.096	0.5297	0.171	57.1	0.7353	0.3032	0.4113	0.1134	116.3	"{""canopy"": {""shortShootLeaves"": 6}}"
sweep	1	sweep:short_shoot_leaves:up	fa0a5be132ac	False	False	"placement: InvalidInput(""short shoot leaves"")"		0.5															"{""canopy"": {""shortShootLeaves"": 10}}"
sweep	1	sweep:short_shoot_spacing:down	65b9f12893c6	False	True		0.26	29.7	32.09	1.016	10764600	7251565	0.7506	0.0959	0.5376	0.14	55.4	0.7358	0.3034	0.411	0.115	116.3	"{""canopy"": {""shortShootSpacing"": 0.02}}"
sweep	1	sweep:short_shoot_spacing:up	7b24e837df9a	False	True		0.2509	18.2	32.06	1.016	10764600	3768979	0.7502	0.0957	0.5261	0.15	57.4	0.7353	0.3032	0.4125	0.1165	116.5	"{""canopy"": {""shortShootSpacing"": 0.04}}"
sweep	1	sweep:limb_clumping:down	fb7287a3f7e6	False	True		0.2458	23.5	32.11	1.016	10764600	5608669	0.7498	0.0959	0.5341	0.1691	55.9	0.7358	0.3034	0.4116	0.1156	116.4	"{""canopy"": {""limbClumping"": 0.15}}"
sweep	1	sweep:limb_clumping:up	c3b5046e25b8	False	True		0.2429	20.8	32.11	1.016	10764600	4316948	0.7504	0.096	0.5297	0.1704	57.3	0.7353	0.3032	0.4109	0.1139	116.4	"{""canopy"": {""limbClumping"": 0.35}}"
sweep	1	sweep:compound	1fa490af516a	False	True		0.2215	6.2	32.03	1.016	2666920	945007	0.7572	0.0956	0.3252	0.3069	90.4	0.6857	0.3022	0.2523	0.1773	136.8	"{""canopy"": {""limbClumping"": 0.35, ""shortShootLeaves"": 6}, ""skeleton"": {""envelope"": {""crownBase"": 0.1, ""spread"": 0.32}, ""habit"": {""crookedness"": 0.0, ""lateralPitch"": 22.0, ""lateralsPerStation"": 1, ""twigTipTaper"": 0.15}, ""twigs"": {""laterals"": 3, ""lengthRatio"": 0.18}}}"
sweep	2	sweep:lateral_pitch:down	e89aa1da6ab0	False	True		0.1696	14.8	31.99	1.016	6800200	3117849	0.7536	0.096	0.4337	0.2459	66.5	0.7341	0.2997	0.3227	0.1632	131.5	"{""skeleton"": {""habit"": {""lateralPitch"": 22.0, ""lateralsPerStation"": 1}}}"
sweep	2	sweep:lateral_pitch:up	21211493c37b	False	True		0.2072	11.4	31.86	1.016	5034160	2312273	0.7471	0.0951	0.5116	0.1679	71.1	0.7297	0.2986	0.3295	0.1339	137.4	"{""skeleton"": {""habit"": {""lateralPitch"": 34.0, ""lateralsPerStation"": 1}}}"
sweep	2	sweep:laterals_per_station:up	b66f2d4f0123	False	True		0.2453	22.6	32.11	1.016	10764600	4928780	0.7504	0.096	0.5321	0.1697	56.4	0.7358	0.3034	0.4115	0.113	116.3	"{""skeleton"": {""habit"": {""lateralsPerStation"": 2}}}"
sweep	2	sweep:crookedness:down	1c2b04e75cd3	False	True		0.1926	13.4	32.04	1.016	6138920	2804432	0.7518	0.0957	0.4597	0.1896	63.1	0.7228	0.3004	0.3245	0.1209	129.3	"{""skeleton"": {""habit"": {""crookedness"": 0.0, ""lateralsPerStation"": 1}}}"
sweep	2	sweep:crookedness:up	9cd0411806f5	False	True		0.1911	12.9	32.0	1.016	5769720	2672732	0.7524	0.0958	0.4861	0.2015	65.8	0.7341	0.3005	0.3334	0.136	134.0	"{""skeleton"": {""habit"": {""crookedness"": 6.0, ""lateralsPerStation"": 1}}}"
sweep	2	sweep:twig_tip_taper:down	8affc8d58983	False	True		0.1866	13.0	31.99	1.016	5928360	2705978	0.7518	0.0957	0.4782	0.2016	66.9	0.7353	0.3002	0.334	0.1363	132.9	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1, ""twigTipTaper"": 0.15}}}"
sweep	2	sweep:twig_tip_taper:up	71e7c0581422	False	True		0.1877	13.0	31.99	1.016	5928360	2705971	0.7518	0.0957	0.4784	0.2015	66.9	0.7353	0.3002	0.3366	0.1355	132.7	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1, ""twigTipTaper"": 0.35}}}"
sweep	2	sweep:twig_laterals:down	92b12016a4a1	False	True		0.1724	10.7	32.01	1.016	4413560	2101136	0.7524	0.0958	0.468	0.2052	72.0	0.7358	0.3011	0.3159	0.1369	135.2	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1}, ""twigs"": {""laterals"": 3}}}"
sweep	2	sweep:twig_laterals:up	b6f10a17804f	False	True		0.1872	15.6	32.04	1.016	7493960	3305376	0.7512	0.0957	0.4839	0.2169	65.8	0.7341	0.3005	0.3521	0.135	130.5	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1}, ""twigs"": {""laterals"": 5}}}"
sweep	2	sweep:twig_length_ratio:down	ac2113c7fd13	False	True		0.1673	11.0	31.99	1.016	4459320	2229310	0.7494	0.0954	0.4611	0.2124	70.3	0.7341	0.3005	0.308	0.1378	135.9	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1}, ""twigs"": {""lengthRatio"": 0.18}}}"
sweep	2	sweep:twig_length_ratio:up	3bf7200192e9	False	True		0.2003	15.0	31.99	1.016	7658200	3136647	0.7542	0.096	0.4914	0.1947	64.9	0.7353	0.2994	0.3592	0.1347	128.9	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1}, ""twigs"": {""lengthRatio"": 0.28}}}"
sweep	2	sweep:irregularity:down	8c27fa72893d	False	True		0.1794	12.9	32.02	1.016	5915040	2691065	0.753	0.0959	0.4723	0.2109	67.3	0.7336	0.3002	0.3322	0.1388	132.8	"{""skeleton"": {""envelope"": {""irregularity"": 0.1}, ""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:irregularity:up	2f55b276c280	False	True		0.1893	13.2	32.0	1.016	5930600	2714635	0.75	0.0955	0.4819	0.2	66.8	0.7341	0.2997	0.3382	0.1363	132.6	"{""skeleton"": {""envelope"": {""irregularity"": 0.26}, ""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:spread:down	460e8e586e18	False	True		0.1766	11.4	31.99	1.016	5072640	2283127	0.6722	0.0966	0.4851	0.203	71.4	0.6957	0.303	0.3194	0.1404	132.9	"{""skeleton"": {""envelope"": {""spread"": 0.32}, ""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:spread:up	833eb7bb8389	False	True		0.2091	14.6	32.01	1.016	6694200	3090037	0.743	0.0946	0.5064	0.1988	64.4	0.7291	0.2976	0.3635	0.1261	131.4	"{""skeleton"": {""envelope"": {""spread"": 0.4}, ""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:crown_base:down	6f9adc02164e	False	True		0.1822	12.6	31.99	1.016	5766160	2600618	0.7518	0.0957	0.4726	0.1999	68.6	0.7353	0.3009	0.3305	0.1395	133.1	"{""skeleton"": {""envelope"": {""crownBase"": 0.02}, ""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:crown_base:up	a1dc4a9137a8	False	True		0.1527	10.8	31.95	1.016	4610400	2176301	0.7524	0.0949	0.4494	0.2381	80.9	0.7502	0.2984	0.3082	0.1485	136.3	"{""skeleton"": {""envelope"": {""crownBase"": 0.1}, ""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:short_shoot_leaves:down	f435325860d1	False	True		0.1838	10.9	31.99	1.016	5928360	2067363	0.7518	0.0957	0.4753	0.202	68.9	0.7341	0.2997	0.3354	0.1357	132.7	"{""canopy"": {""shortShootLeaves"": 6}, ""skeleton"": {""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:short_shoot_leaves:up	a5bbe993add1	False	False	"placement: InvalidInput(""short shoot leaves"")"		0.3															"{""canopy"": {""shortShootLeaves"": 10}, ""skeleton"": {""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:short_shoot_spacing:down	9c5f48b6f34b	False	True		0.193	17.2	31.99	1.016	5928360	3981325	0.7506	0.0956	0.4866	0.2009	64.4	0.7353	0.3009	0.3359	0.135	132.7	"{""canopy"": {""shortShootSpacing"": 0.02}, ""skeleton"": {""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:short_shoot_spacing:up	79ad757e2ca1	False	True		0.182	10.8	31.99	1.016	5928360	2066767	0.7512	0.0957	0.472	0.2025	69.4	0.7347	0.2999	0.3352	0.1365	132.9	"{""canopy"": {""shortShootSpacing"": 0.04}, ""skeleton"": {""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:limb_clumping:down	934dc458a81e	False	True		0.1901	13.7	31.99	1.016	5928360	3024403	0.7512	0.0957	0.481	0.2014	65.1	0.7341	0.2997	0.3357	0.1356	132.7	"{""canopy"": {""limbClumping"": 0.15}, ""skeleton"": {""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:limb_clumping:up	5287f9cb95e2	False	True		0.1835	12.3	31.99	1.016	5928360	2414938	0.7518	0.0957	0.475	0.2015	69.3	0.7353	0.3002	0.3351	0.1356	132.8	"{""canopy"": {""limbClumping"": 0.35}, ""skeleton"": {""habit"": {""lateralsPerStation"": 1}}}"
sweep	2	sweep:compound	980d47197899	False	True		0.1756	6.4	31.99	1.016	3400480	896567	0.7304	0.096	0.372	0.2674	83.6	0.7187	0.303	0.2675	0.1641	136.3	"{""canopy"": {""limbClumping"": 0.35, ""shortShootLeaves"": 6, ""shortShootSpacing"": 0.04}, ""skeleton"": {""envelope"": {""crownBase"": 0.06, ""irregularity"": 0.1, ""spread"": 0.32}, ""habit"": {""lateralPitch"": 22.0, ""lateralsPerStation"": 1, ""twigTipTaper"": 0.15}, ""twigs"": {""laterals"": 3, ""lengthRatio"": 0.18}}}"
sweep	3	sweep:lateral_pitch:down	4612f1747336	False	True		0.1641	12.0	31.94	1.016	5370920	2468645	0.7265	0.0947	0.4244	0.2832	82.0	0.7531	0.298	0.2973	0.1725	136.4	"{""skeleton"": {""envelope"": {""crownBase"": 0.1}, ""habit"": {""lateralPitch"": 22.0, ""lateralsPerStation"": 1}}}"
sweep	3	sweep:lateral_pitch:up	518393630107	False	True		0.1685	9.9	31.92	1.016	4163520	1970687	0.759	0.095	0.4733	0.2022	80.5	0.7428	0.2986	0.3101	0.1398	140.6	"{""skeleton"": {""envelope"": {""crownBase"": 0.1}, ""habit"": {""lateralPitch"": 34.0, ""lateralsPerStation"": 1}}}"
sweep	3	sweep:laterals_per_station:up	861e6059ecf8	False	True		0.1925	18.2	32.03	1.016	8476480	3921504	0.7566	0.0955	0.4763	0.2021	64.3	0.7361	0.2988	0.3648	0.1433	127.4	"{""skeleton"": {""envelope"": {""crownBase"": 0.1}, ""habit"": {""lateralsPerStation"": 2}}}"
sweep	3	sweep:crookedness:down	d819106be23b	False	True		0.1565	10.7	32.0	1.016	4573320	2165993	0.7416	0.0951	0.4297	0.2241	75.5	0.7273	0.2997	0.3013	0.1384	134.7	"{""skeleton"": {""envelope"": {""crownBase"": 0.1}, ""habit"": {""crookedness"": 0.0, ""lateralsPerStation"": 1}}}"
sweep	3	sweep:crookedness:up	57a8833408b4	False	True		0.1506	10.8	32.11	1.016	4625360	2162188	0.7626	0.0955	0.4448	0.2288	79.7	0.7473	0.2996	0.3078	0.1405	135.2	"{""skeleton"": {""envelope"": {""crownBase"": 0.1}, ""habit"": {""crookedness"": 6.0, ""lateralsPerStation"": 1}}}"
sweep	3	sweep:twig_tip_taper:down	088614b2549b	False	True		0.1533	10.8	31.95	1.016	4610400	2176306	0.7524	0.0949	0.4493	0.2381	80.9	0.7502	0.2984	0.3071	0.146	136.4	"{""skeleton"": {""envelope"": {""crownBase"": 0.1}, ""habit"": {""lateralsPerStation"": 1, ""twigTipTaper"": 0.15}}}"
sweep	3	sweep:twig_tip_taper:up	2fa01192d939	False	True		0.1525	10.8	31.95	1.016	4610400	2176300	0.7524	0.0949	0.4495	0.2381	80.9	0.749	0.298	0.3089	0.1483	136.2	"{""skeleton"": {""envelope"": {""crownBase"": 0.1}, ""habit"": {""lateralsPerStation"": 1, ""twigTipTaper"": 0.35}}}"
